id;link;author;description;source;favorite_count;retweet_count;lang;tweet_type;user_statuses_count;user_friends_count;user_followers_count;boost_value
32;https://twitter.com/randhilicious/statuses/1577538665466978306;randhilicious;ternyata ada pnerapan sistem tarif integrasi antarmoda pakai jaklingko khusus utk metode pakai kartu jd skrg ga cuma pakai app jaklingko tapi jg bisa pakai kartu tapi kartunya mesti diaktivasi dulu di reader khusus jaklingko enak sih ;Twitter for Android;0;0;in;reply;11224;369;762;0
33;https://twitter.com/BisKota_/statuses/1577536851547947008;BisKota_;mau cc tim hore jaklingko di twiter udh males duluan liat akunnya ;Twitter for Android;2;1;in;reply;157045;774;23849;0,012579144
34;https://twitter.com/adnihdx/statuses/1577535820122456064;adnihdx;min ini  kartu untuk  pengguna berlaku buat flazz bca juga atau cuma kartu jaklingko aja ;Twitter Web App;0;0;in;reply;29873;1397;1441;0
35;https://twitter.com/herupurnom0/statuses/1577535597073293314;herupurnom0;pagi kak kartu uang elektronik seperti kartu jaklingko flazz bca emoney bank mandiri tapcash bni brizzi bri dan jakcard bank dki dapat digunakan pada layanan transjakarta minimal saldo untuk dapat melakukan perjalanan adalah rp  ya kak  ;Twitter for Android;0;1;in;retweet;23516;936;305;0,327868852
36;https://twitter.com/Guehedy/statuses/1577519454602133504;Guehedy;min info beli kartu jaklingko dimana aja dong thank you ;Twitter for Android;0;0;in;original;55817;517;773;0
37;https://twitter.com/smittenmuch/statuses/1577518236262092800;smittenmuch;and fawk jaklingko ;Twitter for Android;0;0;in;original;213;21;0;0
38;https://twitter.com/LeonardEricLie/statuses/1577518152627683328;LeonardEricLie;itu dia masalahnya angkot jaklingko aja naiknya ga bisa pake apps jaklingko ;Twitter for Android;0;0;in;reply;77507;53;324;0
39;https://twitter.com/Varsyetha/statuses/1577517985845370880;Varsyetha;gabisa min kata petugas saya kan ada pembelian pake shopeepay tp gagal kartunya keluar trs dkbalikan dlm bentuk voucher tp voucher nya gabs beli kartu jaklingko bisanya top up tp saya punya flazz gimana c min repot amat bisa ga kembaliin ke shopeepay nya aja ;Twitter for Android;0;0;in;reply;18;14;0;0
40;https://twitter.com/Arief_2792/statuses/1577517293411926017;Arief_2792;jaklingko tapcash gw kok bisa ye masukin ke app pernah coba aktifin di bct tulisannya masih ok otrip kesannya kek di grup kantor  besok pagi tarif integrasi berlaku ya ;Twitter for Android;0;2;in;retweet;42541;280;145;1,379310345
41;https://twitter.com/LeonardEricLie/statuses/1577515689124188160;LeonardEricLie;jaklingko tapcash gw kok bisa ye masukin ke app pernah coba aktifin di bct tulisannya masih ok otrip kesannya kek di grup kantor  besok pagi tarif integrasi berlaku ya ;Twitter for Android;0;2;in;retweet;77507;53;324;0,617283951
42;https://twitter.com/ihsani_fauzan/statuses/1577515567158026240;ihsani_fauzan;jaklingko tapcash gw kok bisa ye masukin ke app pernah coba aktifin di bct tulisannya masih ok otrip kesannya kek di grup kantor  besok pagi tarif integrasi berlaku ya ;Twitter for Android;1;2;in;reply;8051;265;163;1,840490798
43;https://twitter.com/aa_watermelon/statuses/1577515335129128960;aa_watermelon;gak sih lebih ke kemaren gegara ada pembaruan sistem bisa kok pake jaklingko ;Twitter Web App;0;0;in;reply;28127;1274;2014;0
44;https://twitter.com/omsenan76397357/statuses/1577512660769574912;omsenan76397357;ga mau naik tije dulu kekantor mendingan sementara naik jaklingko biar pun muter muter daripada emosi udah antri terus saldo kepotong ga jelas kemarin kepotong dua kali tap ini sumber waras  tap out halte kota kena lagi  ;Twitter for Android;0;2;in;retweet;4880;414;65;3,076923077
45;https://twitter.com/mofaisalakbar/statuses/1577510506453430272;mofaisalakbar;karena kebijakan integrasi jaklingko gitu fir jd meski naik bus kecil terus pindah ke tj bayarnya goceng yg nyebelin itu fasilitas tap in tap out ini sistemnya belum update dan mesinnya tiap halte cuma dikit sedangkan yg keluar masuk tuh banyak bgt di peak hour ;Twitter for iPhone;0;0;in;reply;32227;933;1792;0
46;https://twitter.com/LeonardEricLie/statuses/1577502267586248705;LeonardEricLie;anjir tolol bet wkwkwkwkwk saatnya beralih sementara pakai qr kalo kci gw udah worryfree pake gotransit mrt juga sama gampang pake app nya link ke gopay yang jadi masalah tetap saja si aplikasi jaklingko ini gak bisa dipake di nonbrt wkwkwkwkwwk ;Twitter for Android;0;0;in;reply;77507;53;324;0
47;https://twitter.com/pmanlixious/statuses/1577500840939900929;pmanlixious;sekarang udah harus pake kartu bank tertentu ya mas aku cma ada jaklingko ;Twitter for Android;0;0;in;reply;13110;853;611;0
48;https://twitter.com/LeonardEricLie/statuses/1577500415230636032;LeonardEricLie;lalu kenapa kartu bank gagal daftar di jaklingko begini ya ;Twitter for Android;0;0;in;reply;77507;53;324;0
49;https://twitter.com/81_hopes/statuses/1577496804811161600;81_hopes;jadi ini yang menyebabkan kartu selain jaklingko terpotong x min jelaskan min jd penumpang tidak bingung ;Twitter for Android;0;0;in;reply;570;108;5;0
50;https://twitter.com/81_hopes/statuses/1577496548140728320;81_hopes;jadi flazz e money dan kartu diluar jaklingko tidak berguna min  kenapa penumpang dibuat susah  ;Twitter for Android;0;1;in;reply;570;108;5;20
51;https://twitter.com/thedufresne/statuses/1577495964449124353;thedufresne;jaklingko emang gw yg mengerjakan silakan tanya manajemen transjakarta ;Twitter for iPhone;0;0;in;reply;65291;2367;15611;0
52;https://twitter.com/Gladyzkhun/statuses/1577492879408517121;Gladyzkhun;iya skrg peraturan baru karena mulai diterapin tarif integrasi antara tjmrtlrt sama angkot jaklingko ;Twitter for Android;1;0;in;reply;188483;193;10071;0,009929501
53;https://twitter.com/LeonardEricLie/statuses/1577491682710663168;LeonardEricLie;tbh sistem tertutup kayak kaic itu jauh lebih gampang daripada sistem terbuka ala bus kota begini daripada begini kalo pengen gampang di sisi provider customer dibikin monthly pass sama daily pass atau pastikan semua alat tap bisa baca barcode aplikasi jaklingko ;Twitter for Android;0;0;in;reply;77507;53;324;0
54;https://twitter.com/BisKota_/statuses/1577490847989665793;BisKota_;ga mau naik tije dulu kekantor mendingan sementara naik jaklingko biar pun muter muter daripada emosi udah antri terus saldo kepotong ga jelas kemarin kepotong dua kali tap ini sumber waras  tap out halte kota kena lagi  ;Twitter for Android;0;2;in;retweet;157045;774;23849;0,008386096
55;https://twitter.com/vvarganet1/statuses/1577488008059957249;vvarganet1;bapuk emang timnya jaklingko humas transjakarta ;Twitter for Android;0;1;in;retweet;21121;801;636;0,157232704
56;https://twitter.com/EryAnneMariey/statuses/1577487883296210944;EryAnneMariey;ga mau naik tije dulu kekantor mendingan sementara naik jaklingko biar pun muter muter daripada emosi udah antri terus saldo kepotong ga jelas kemarin kepotong dua kali tap ini sumber waras  tap out halte kota kena lagi  ;Twitter Web App;0;2;in;reply;19512;329;249;0,803212851
57;https://twitter.com/BisKota_/statuses/1577483806239776768;BisKota_;bapuk emang timnya jaklingko humas transjakarta ;Twitter for Android;6;1;in;reply;157045;774;23849;0,029351335
58;https://twitter.com/BisKota_/statuses/1577482471922597888;BisKota_;twit  sampai besok hari jam  belum dibales sama adminnya halo timnya jaklingko di twitter jawab dong disini dari kemaren cuma ngebacot doang wajib tap in tap out ;Twitter for Android;0;0;in;reply;157045;774;23849;0
59;https://twitter.com/febryanrdhn/statuses/1577482382382632960;febryanrdhn;saya punya kartu jaklingko mandiri udah coba aktivasi lewat bct gagal terus tulisannya gagal karena masalah kartu silahkan hubungi petugas udah dibantu petugas tapi blm berhasil bisa dibantu min  ;Twitter for Android;0;0;in;original;8452;505;343;0
60;https://twitter.com/nenskyyy/statuses/1577480929869979648;nenskyyy;ni jaklingko dingin bgt ;Twitter for iPhone;0;0;in;original;7511;202;94;0
61;https://twitter.com/sendicadash/statuses/1577480819459117056;sendicadash;min kartu yang di pakai untuk naik tj dari meruya ke blok m kartu nya apa ya  jaklingko  bri  flash atau emony  ;Twitter for iPhone;0;0;in;reply;171928;277;3510;0
62;https://twitter.com/minladore/statuses/1577480501111099392;minladore;mutual aku ada yang sering naik tj gak aku mau beli kartu baru tapi bingung mending flazz emoney atau jaklingko atau ada rekomendasi kartu lain ;Twitter for Android;0;0;in;original;12404;3506;3944;0
63;https://twitter.com/miawwwmiaww/statuses/1577478608901525505;miawwwmiaww;kenapa giliran w udah pesen ojol banyak jaklingko lewat ;Twitter for Android;0;0;in;original;1753;150;31;0
64;https://twitter.com/sbatudingin/statuses/1577477131289829376;sbatudingin;kartu jaklingko gw gabisa kepakentadi ;Twitter for Android;0;0;in;original;1919;708;31;0
65;https://twitter.com/errrrynsyh/statuses/1577475312581218304;errrrynsyh;kartu saya emoney biasa bukan yg jaklingko tapi bisa diaktifin dialat itu ;Twitter for Android;0;0;in;reply;736;47;49;0
66;https://twitter.com/kiwkiwting/statuses/1577474331692920832;kiwkiwting;saya pake tapcash kl emg cm berlaku utk jaklingko harusnya mereka sosialisasi dong pagi wkt ngetap di halte petugasnya ga jelasin cm nekenin hrs tap out ujungnya kepotong x saldo saya ;Twitter for iPhone;0;0;in;reply;57;57;2;0
67;https://twitter.com/FebrianyRicha/statuses/1577473996211490816;FebrianyRicha;utk semua kartu atau hanya kartu jaklingko sama ;Twitter for Android;0;0;in;reply;159;39;9;0
68;https://twitter.com/janijiwaa/statuses/1577473156599930881;janijiwaa;kebayang ga min tije non brt berenti pinggir jalan kudu tap out mesinnya cuma  penumpang byk yg turun jalanan macet jaklingko aja nunggu penumpang tap inout bikin macet apalagi bus segede tije wkwkw ;Twitter for Android;0;0;in;reply;7109;609;1012;0
69;https://twitter.com/meigyomay/statuses/1577472158905044994;meigyomay;pagi kak kartu uang elektronik seperti kartu jaklingko flazz bca emoney bank mandiri tapcash bni brizzi bri dan jakcard bank dki dapat digunakan pada layanan transjakarta minimal saldo untuk dapat melakukan perjalanan adalah rp  ya kak  ;Twitter for Android;0;1;in;retweet;913;257;3;33,33333333
70;https://twitter.com/bebasutang85/statuses/1577470051539898369;bebasutang85;jaklingko  no plat b  wv saya setop di perhentian pasar prumpung jam  pagi ini tdk berhenti kondisi mobil ga penuhtolong supirnya di tegur ;Twitter for Android;0;0;in;original;17849;4719;82;0
71;https://twitter.com/bebasutang85/statuses/1577468934194069505;bebasutang85;jaklingko  no plat b  wv saya setop di perhentian pasar prumpung jam  pagi ini tdk berhenti kondisi mobil ga penuhtolong supirnya di tegur ;Twitter for Android;0;0;in;original;17849;4719;82;0
72;https://twitter.com/daveorl/statuses/1577468346475622400;daveorl;oh dan qr scanner di halte transjakarta jelek banget kalau mau pakai tarif terintegrasi jaklingko mendingan pake kartu deh daripada pakai qr dari hp bikin frustrasi aja scan qr gagal terus ;Twitter for iPhone;0;0;in;reply;53848;773;882;0
73;https://twitter.com/PT_Transjakarta/statuses/1577465707297927173;PT_Transjakarta;pagi kak kartu uang elektronik seperti kartu jaklingko flazz bca emoney bank mandiri tapcash bni brizzi bri dan jakcard bank dki dapat digunakan pada layanan transjakarta minimal saldo untuk dapat melakukan perjalanan adalah rp  ya kak  ;TweetDeck;1;1;in;reply;420083;23;478545;0,000417934
74;https://twitter.com/Ivan_putra_/statuses/1577464262666379266;Ivan_putra_;ke kantor kelurahan cipulir naik jaklingko nomor berapa ya yang lewat di kelurahan tersebut ;Twitter for Android;0;0;in;original;533;276;45;0
75;https://twitter.com/novembliss/statuses/1577463463034880000;novembliss;jaklingko beli dimana tolong ;Twitter for iPhone;0;0;in;original;34030;77;315;0
76;https://twitter.com/ggoneberry/statuses/1577462128394764288;ggoneberry;jaklingko ma busway ;Twitter for Android;0;0;in;reply;13614;1521;2279;0
77;https://twitter.com/shinobu_kujo/statuses/1577461930553643008;shinobu_kujo;contd jadi pas kalian masuk halte yg brt kartu kalian gak ke blokir gak perlu reset kartu gak perlu perlu kepotong ulang juga kartunya  sebenernya ini sistem udah diberlakukan di jaklingko jadi klo pernah naek jaklingko slalu tap x nah ini jg begitu selamat mencoba ;Twitter for Android;0;0;in;original;96678;277;334;0
78;https://twitter.com/ryanabimanyu/statuses/1577456633101586433;ryanabimanyu;aplikasi nya yang blee si jaklingko tarif integrasi itu masih ga jelas ;Twitter for iPhone;0;0;in;reply;39348;332;647;0
79;https://twitter.com/wahyuarifw/statuses/1577456172046909440;wahyuarifw;jadi nggak cuma jaklingko aja ya jadi kalau kartu yg diterbitkan bank itu diblokir karena tidak tap out tj apakah dari tj punya kewenangan itu padahal kartu itu tidak diterbitkan khusus untuk tj ;Twitter for Android;2;0;in;reply;1449;134;70;2,857142857
80;https://twitter.com/PT_Transjakarta/statuses/1577455049898627072;PT_Transjakarta;pagi kak kartu uang elektronik seperti kartu jaklingko flazz bca emoney bank mandiri tapcash bni brizzi bri dan jakcard bank dki dapat digunakan pada layanan transjakarta minimal saldo untuk dapat melakukan perjalanan adalah rp  ya kak  ;TweetDeck;1;1;in;reply;420083;23;478545;0,000417934
81;https://twitter.com/ainichi21/statuses/1577451640093044743;ainichi21;baru pake jaklingko di tap in kepotong  nanti pas keluar kepotong lagi  sama aja aktifasi kartunya bayar  aneh banget ;Twitter for Android;0;0;in;original;32164;622;213;0
82;https://twitter.com/wahyuarifw/statuses/1577450652774862848;wahyuarifw;mau tanya dong min skrg tj harus pakai kartu jaklingko aja atau bisa semua kartu e money ;Twitter for Android;0;0;in;reply;1449;134;70;0
83;https://twitter.com/syzelli/statuses/1577450350185152512;syzelli;kalo dulu busway dgn moda lain sprt bus  mikrolet brdiri dikelola sndiri pnya aturan sndiri kalo skrg pas ada jaklingko sjk okt  antara busway bus  dan mikrolet saling krjasama naik antarmoda begitu cm byr pake kartu rp  dlu mana bisa ga becus gitu  ;Twitter for Android;0;1;in;retweet;4843;381;95;1,052631579
84;https://twitter.com/obangben/statuses/1577447839772200960;obangben; terpantau hari ini saldo saya masih kepotong dua kali tap in tap out jadiharusnya cumaini mau belaga gimana lagi sih min dah mana bikin antrian panjang pake kartu jaklingko loh ini saya yang mana kartu bikinan tj sendiri masih aja ke blokir dan saldo kepotong ;Twitter for Android;9;0;in;reply;3270;224;91;9,89010989
85;https://twitter.com/MistianiChen/statuses/1577447437186519041;MistianiChen;kapan mas anies bawa angkot jaklingko lgumurku  thn skarang baru ada seorang gubernur punya sipat welas asih sama rakyat miskinsmoga mas anies slalu sehat semangat juga dilindungi ama allohamiiin ;Twitter for Android;0;2;in;retweet;6825;806;1040;0,192307692
86;https://twitter.com/yuuto30408773/statuses/1577445767526387712;yuuto30408773;maaf mau tany sistem kartu transjakarta jaklingko gimana sih saya dari pondok labu setiap mau checkin ulang di blok m kartunya terblokir sama sama saldo yang berkurang apakah menyesuaikan jd   ;Twitter for iPhone;0;0;in;original;2118;850;495;0
87;https://twitter.com/canberiz/statuses/1577424060283518976;canberiz;buseeettt ini gw naek jaklingko ape naek rollercoaster sih begajulan amat ;Twitter for Android;0;0;in;original;396;222;154;0
88;https://twitter.com/kamilamaharania/statuses/1577351124319076352;kamilamaharania;evaluasinya tolong stok kartu yang ada di vending machine diperbaiki dong jangan smpai pelanggan yg mau dapat tarif integrasi pakai kartu jaklingko akhirnya gak dapat karena kartunya gak tersedia siapapun rekanan atau partnernya harus siap buat stok kartunya min ;Twitter for Android;0;0;in;reply;1180;493;303;0
89;https://twitter.com/kamilamaharania/statuses/1577347398690820097;kamilamaharania;klo selain kartu jaklingko gak dapat tarif integrasi kah ;Twitter for Android;0;0;in;reply;1180;493;303;0
90;https://twitter.com/integralridwan/statuses/1577342047048327168;integralridwan;ini berlaku semua kartu atau kartu jaklingko min ;Twitter for Android;0;0;in;reply;327;140;165;0
91;https://twitter.com/4nj1n99999/statuses/1577331030717255680;4nj1n99999;yups sat bilang pepatah kak  kebaikan kalah dgn  kejelekan contoh angkot jaklingko itu program sgt bagus sekali memudahkan dan bisa hemat pengeluaran tapi ya mereka kedengkian nya tinggi mau bagaimna pun gak bakal keliatan kebaikannya yang ada kejelekannya yg keliatan ;Twitter for iPhone;0;0;in;reply;2640;236;82;0
92;https://twitter.com/ribetribut_/statuses/1577314290817994752;ribetribut_;mesin segede gaban di halte cuma bisa isi jaklingko hadeh terus sistem yg baru mau kek sok sokan ngikutin cara mesin tap krl tapi fail gagal banget hari ini mana gaada uji coba main langsung dilaksanain gajelas banget tap in outnya kecewa parahhh ;Twitter Web App;1;0;in;reply;25310;743;1588;0,062972292
93;https://twitter.com/pahlevirezaaaaa/statuses/1577311103369236481;pahlevirezaaaaa;naik bst enak ya kaya angkot jaklingko gratis rp  malah tanpa ngetap inout kapan ya proyek trans jateng masuk kebumen ;Twitter for iPhone;0;0;in;original;5827;202;244;0
